명소,g5,g4,g3,g2,g1,가중치,리뷰수,위도,경도,카테고리,실내외
성산 일출봉,136,83,12,1,0,4.525862069,981,33.4580731,126.9337452,자연관광,실외
한라산 국립공원,56,13,7,0,0,4.644736842,518,33.3785857,126.5216658,자연관광,실외
우도,112,36,6,0,0,4.688311688,440,33.5043022,126.9518593,자연관광,실외
함덕서우봉해변,55,23,3,0,0,4.641975309,167,33.5434276,126.6675865,자연관광,실외
정방 폭포,28,39,10,0,0,4.233766234,349,33.2448566,126.5696145,자연관광,실외
중문 대포해안 주상 절리대,55,43,9,2,0,4.385321101,271,33.2377594,126.4228784,자연관광,실외
협재 해수욕장,55,33,3,0,0,4.571428571,190,33.3941496,126.2309732,자연관광,실외
천지연폭포,37,34,12,2,0,4.247058824,370,33.2469611,126.5456622,자연관광,실외
한림공원,20,17,6,1,0,4.272727273,262,33.3895265,126.2370672,자연관광,실외
만장굴,19,17,6,4,0,4.108695652,608,33.5284905,126.7692923,자연관광,실외
오설록 티 뮤지엄,59,59,46,8,3,3.931428571,438,33.3058985,126.2872313,체험관광,실내
애코랜드 테마파크,35,36,4,0,0,4.413333333,142,33.4518914,126.663004,자연관광,실외
테디베어 박물관 제주,15,27,22,5,1,3.714285714,436,33.2502912,126.409983,역사관광,실내
쇠소깍,60,33,22,1,0,4.310344828,146,33.2525491,126.6213319,자연관광,실외
비자림,43,25,5,0,0,4.520547945,101,33.491364,126.8091883,자연관광,실외
아쿠아 플라넷 제주,31,39,17,2,0,4.112359551,150,33.432798,126.9257214,체험관광,실내
외돌개,30,18,9,2,0,4.288135593,158,33.2390765,126.5424033,자연관광,실외
트릭아트뮤지엄 코리아,3,16,11,2,1,3.545454545,229,33.3991283,126.7830758,체험관광,실내
박물관은 살아있다,10,21,6,1,1,3.974358974,167,33.2549269,126.40653,체험관광,실내
용머리 해안,32,15,10,0,2,4.271186441,108,33.2318515,126.3124523,자연관광,실외
약천사,11,8,7,0,0,4.153846154,129,33.2453243,126.4474953,자연관광,실외
천제연 폭포,14,16,7,1,0,4.131578947,177,33.2505736,126.4144536,자연관광,실외
송악산,21,12,0,0,0,4.636363636,58,33.1994771,126.273046,자연관광,실외
제주 절물 자연 휴양림,25,10,3,0,0,4.578947368,50,33.4369715,126.6259744,자연관광,실외
성읍 민속마을,8,9,9,5,1,3.5625,327,33.3844397,126.7981991,체험관광,실내
제주 돌문화 공원,15,10,5,2,0,4.1875,99,33.4485817,126.6564435,자연관광,실외
