지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
21229,2011.12.28, ,울릉도,대구(구 143),37.4554,131.1144,,,,,
22101,1996.07.01, ,덕적도,인천기상대(112),37.2361,126.0188,,,,,
22102,1996.07.01, ,칠발도,목포기상대(165),34.7933,125.7769,,,,,
22103,1997.05.01, ,거문도,광주지방기상청(156),34.0014,127.5014,,,,,
22104,1998.05.01, ,거제도,부산지방기상청(159),34.7667,128.900,,,,,
22105,2001.04.01, ,동해,강릉(구 105),37.5442,130.000,,,,,
22106,2008.11.15, ,포항,대구(구 143),36.350,129.7833,,,,,
22107,2008.11.15, ,마라도,제주지방기상청(184),33.0833,126.0333,,,,,
22108,2009.10.21, ,외연도 ,대전지방기상청(133),36.250,125.750,,,,,
22183,2013.06.21, ,신안,목포기상대(165),34.7333,126.2417,,,,,
22184,2014.01.14, ,추자도,제주지방기상청(184),33.7936,126.1411,,,,,
22185,2015.12.22, ,인천,인천기상대(112),37.0917,125.4289,,,,,
22186,2015.12.22, ,부안,전주기상대(146),35.6586,125.8139,,,,,
22187,2015.12.22, ,서귀포,제주지방기상청(184),33.1281,127.0228,,,,,
22188,2015.12.22, ,통영,부산지방기상청(159),34.3917,128.225,,,,,
22189,2015.12.22, ,울산,울산기상대(152),35.3453,129.8414,,,,,
22190,2015.12.09, ,울진,대구(구 143),36.9069,129.8744,,,,,
