지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
96,2009.10.27,~,독도,울릉도기상대(115),37.2395,131.8698,96.15,,,,
116,2010.08.06,~,관악(레),,37.4453,126.964,622.38,,,,
116,1993.11.10,2010.08.06,관악(레),,37.4433,126.967,634,,,,
144,1993.03.16,2011.12.09,군산(레),군산기상대(140),36.0123,126.7834,198.61,,,,
160,1993.03.04,~,부산(레),부산지방기상청(159),35.1188,129.000,518.46,,,,
229,2017.09.08,~,북격렬비도 *,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005.03.16,2017.09.08,격렬 *,대전지방기상청(133),36.6254,125.5595,103.56,,,,
300,2015.07.13,~,말도,전주기상대(146),35.8584,126.3153,48.45,,,,
300,2007.10.10,2015.07.13,말도,군산기상대(140),35.8584,126.3153,48.45,,,,
300,2001.02.20,2007.10.10,말도,군산기상대(140),35.850,126.3167,49,,,,
301,2011.11.23,~,임자도,목포기상대(165),35.0859,126.118,6,,,,
301,2003.08.05,2011.11.23,임자도,목포기상대(165),35.0841,126.1112,15.35,,,,
301,2001.01.05,2003.08.05,안마도,광주지방기상청(156),35.3333,126.0167,5,,,,
302,2011.12.09,~,장산도,목포기상대(165),34.6647,126.1592,19,,,,
302,2001.01.05,2011.12.09,장산도,목포기상대(165),34.6432,126.1491,18.91,,,,
303,2017.08.25,~,가거도,흑산도기상대(169),34.0728,125.0975,107.9,,,,
303,2017.02.27,2017.08.25,가거도,흑산도기상대(169),34.0728,125.0975,107.9,,,,
303,2010.11.23,2017.02.27,가거도,흑산도기상대(169),34.0522,125.1264,22,,,,
303,2001.03.12,2010.11.23,가거도,흑산도기상대(169),34.0667,125.1167,60,,,,
304,2015.07.13,~,신지도,목포기상대(165),34.318,126.8485,21,,,,
304,2011.11.17,2015.07.13,신지도,완도기상대(170),34.318,126.8485,21,,,,
304,2006.04.20,2011.11.17,신지도,완도기상대(170),34.3347,126.8273,21.41,,,,
304,2002.09.11,2006.04.20,소안도,완도기상대(170),34.1678,126.655,25,,,,
304,2001.02.20,2002.09.11,당사도,완도기상대(170),34.0833,126.600,100,,,,
305,2015.07.13,~,여서도,목포기상대(165),33.9862,126.9201,35.38,,,,
305,2007.10.19,2015.07.13,여서도,완도기상대(170),33.9862,126.9201,35.38,,,,
305,2001.02.20,2007.10.19,여서도,완도기상대(170),33.900,126.9167,32,,,,
306,2014.10.24,~,소리도,여수기상대(168),34.4319,127.8011,3.04,,,,
306,2001.01.05,2014.10.24,소리도,여수기상대(168),34.9525,127.8008,5,,,,
307,2001.01.05,2014.12.10,평도,여수기상대(168),34.2437,127.4496,38.49,,,,
310,2015.07.13,~,궁촌,강릉(구 105),37.3246,129.265,14,,,,
310,2011.12.29,2015.07.13,궁촌,동해기상대(106),37.3246,129.265,14,,,,
310,2005.06.29,2011.12.29,묵호,동해기상대(106),37.5546,129.1185,70.66,,,,
311,2015.07.13,~,가야산,울산기상대(152),35.7892,128.0867,595.71,,,,
311,2001.09.25,2015.07.13,가야산,거창기상대(284),35.7892,128.0867,595.71,,,,
