ID,date,temp,maxt,pcp,ws,minh,avgh,light
ASOS_184,2014-06-01,22.4,25,0.1,1.8,37,65,3.5
ASOS_185,2014-06-01,21.4,25.3,0,6,41,80,3.3
ASOS_188,2014-06-01,20.3,23.9,0,2.5,64,89,4.4
ASOS_189,2014-06-01,22.3,24.8,0,1.3,42,75,4.8
AWS_328,2014-06-01,22.4,25.7,0,1.3,,,
AWS_329,2014-06-01,22.4,25.7,0,1.3,,,
AWS_330,2014-06-01,20.7,25.1,0,2.4,,,
AWS_685,2014-06-01,21.3,26,0,2.5,,,
AWS_724,2014-06-01,19.4,21,0,2.2,,,
AWS_725,2014-06-01,20.9,24.2,0,2,,,
AWS_726,2014-06-01,20.9,22.8,0,3.6,,,
AWS_727,2014-06-01,22.5,28.7,0,2.5,,,
AWS_751,2014-06-01,21.5,26,0,3.9,,,
AWS_752,2014-06-01,21.4,25.3,0,3.9,,,
AWS_753,2014-06-01,17.6,23.7,0,2.1,,,
AWS_779,2014-06-01,22.8,29.8,0,2.4,,,
AWS_780,2014-06-01,20.4,23.8,0,1.2,,,
AWS_781,2014-06-01,21,25.8,0,3.3,,,
AWS_782,2014-06-01,19.4,23.4,0,4.7,,,
AWS_792,2014-06-01,20.4,26,0,2.2,,,
AWS_793,2014-06-01,21,23.1,0,4.1,,,
AWS_855,2014-06-01,20.9,21.8,0,5.2,,,
AWS_870,2014-06-01,14.2,19.1,0,5.9,,,
AWS_871,2014-06-01,12.9,17,0,4.7,,,
AWS_884,2014-06-01,20.5,24.1,0,1.8,,,
AWS_885,2014-06-01,20,24.8,0,2.4,,,
ASOS_184,2014-06-02,22.7,24.9,2.4,6.5,55,67.8,3.3
ASOS_185,2014-06-02,19.6,21.4,9.9,13.4,80,92.8,3.4
ASOS_188,2014-06-02,19.6,21.1,77.3,7,83,91.1,0
ASOS_189,2014-06-02,19.5,22.1,191,3.5,89,93.6,0
AWS_328,2014-06-02,20.7,23,98,2.3,,,
AWS_329,2014-06-02,20.7,23,98,2.3,,,
AWS_330,2014-06-02,17.9,20.2,93,4.7,,,
AWS_685,2014-06-02,18.5,21.1,135.5,4.2,,,
AWS_724,2014-06-02,19.3,20.3,10.5,11.9,,,
AWS_725,2014-06-02,20,21.7,45.5,5.5,,,
AWS_726,2014-06-02,19.4,20.9,62.5,8.4,,,
AWS_727,2014-06-02,20.3,23.2,4,10.4,,,
AWS_751,2014-06-02,17.5,19.8,51.5,7.3,,,
AWS_752,2014-06-02,18.5,20.3,33.5,8.6,,,
AWS_753,2014-06-02,15.9,17.3,67.5,6.4,,,
AWS_779,2014-06-02,22.1,24.9,2.5,9.5,,,
AWS_780,2014-06-02,19.3,21.4,201,3.5,,,
AWS_781,2014-06-02,19.3,21.1,37.5,8.2,,,
AWS_782,2014-06-02,15,17.2,148,7.8,,,
AWS_792,2014-06-02,19.7,21.9,123.5,3.9,,,
AWS_793,2014-06-02,19.3,21.3,49,8.7,,,
AWS_855,2014-06-02,19.7,21.1,15,12.1,,,
AWS_870,2014-06-02,11.1,13.3,201,8.6,,,
AWS_871,2014-06-02,10.2,12.1,210.5,8.2,,,
AWS_884,2014-06-02,18,20.3,139.5,4.9,,,
AWS_885,2014-06-02,17.6,19.7,207.5,4.4,,,
ASOS_184,2014-06-03,20.6,25.1,0,2.5,53,85.5,0.5
ASOS_185,2014-06-03,18.5,19.7,0.8,5.1,91,97.4,0
ASOS_188,2014-06-03,19.1,20.1,4.7,3.6,89,96.1,0
ASOS_189,2014-06-03,19.5,21.4,5,2.1,89,94.8,0.1
AWS_328,2014-06-03,20.2,22.1,2.5,0.9,,,
AWS_329,2014-06-03,20.2,22.1,2.5,0.9,,,
AWS_330,2014-06-03,17.7,20.7,12,1.5,,,
AWS_685,2014-06-03,18.5,21.9,4.5,1.4,,,
AWS_724,2014-06-03,19.4,20.8,1.5,3.1,,,
AWS_725,2014-06-03,19.6,21,2,3.2,,,
AWS_726,2014-06-03,19,20.6,0.5,3.9,,,
AWS_727,2014-06-03,17.9,21.1,3.5,3.5,,,
AWS_751,2014-06-03,18,20.3,20,4.1,,,
AWS_752,2014-06-03,17.6,19.5,6.5,3,,,
